Station_name,number,Degree
Chennai Central,0,3
Egmore,1,2
Nehru Park,2,2
Kilpauk,3,2
Pachaiyappa's College,4,2
Shenoy Nagar,5,2
Anna Nagar East,6,2
Anna Nagar Tower,7,2
Thirumangalam,8,2
Koyambedu,9,2
CMBT,10,2
Arumbakkam,11,2
Vadapalani,12,2
Ashok Nagar,13,2
Ekkattuthangal,14,2
Alandur,15,4
St. Thomas Mount,16,1
Washermenpet,17,1
Mannadi,18,2
High Court,19,2
Government Estate,20,2
LIC,21,2
Thousand Lights,22,2
AG-DMS,23,2
Teynampet,24,2
Nandanam,25,2
Saidapet,26,2
Little Mount,27,2
Guindy,28,2
Nanganallur Road,29,2
Meenambakkam,30,2
Airport,31,1
