number,Station_name,Degree
0,Dakshineswar,1
1,Baranagar,3
2,Noapara,3
3,Dumdum,2
4,Belgachia,2
5,Shyambazar,2
6,Shobhabazar,2
7,Girish Park,2
8,MG Road,2
9,Central,2
10,Chadni Chowk,2
11,Esplanade,3
12,Park Street,2
13,Maidan,2
14,Rabindra Sadan,2
15,Netaji Bhavan,2
16,Jatin Das Park,2
17,Kalighat,2
18,Rabindra Sarobar,2
19,Tollygange,2
20,Kudghat,2
21,Bansdroni,2
22,Naktala,2
23,Garia Bazar,2
24,Sahid Khudiram,2
25,New Garia,2
26,Sector 5,3
27,Karunamoyee,2
28,Central Park,2
29,City Center,2
30,Bengal Chemical,2
31,Salt Lake Stadium,2
32,Phoolbagan,2
33,Sealdah,2
34,New Mahakaran,2
35,BBD Bagh,2
36,Howrah,2
37,Howrah Maidan,1
38,Diamond Park,1
39,IIM,2
40,Joka,2
41,Thakurpukur,2
42,Sakherbazar,2
43,Behala,2
44,Taratala,2
45,Majerhat,2
46,Mominpur,2
47,Kidderpore,2
48,Victoria,2
49,Dum Dum Cantonment,2
50,Jessore Road,2
51,Biman Bandar,3
52,Birati,2
53,Michael Nagar,2
54,New Barrackpore,2
55,Madhyamgram,2
56,Hridaypur,2
57,Barasat,1
58,Kamarhati,2
59,Agarpara,2
60,Sodepur,2
61,Panihati,2
62,Subhash Nagar,2
63,Khardaha,2
64,Tata Gate,2
65,Titagarh,2
66,Talpukur,2
67,Barrackpore,1
68,VIP Road,2
69,Chinar Park,2
70,City Center 2,2
71,Mangal Deep,2
72,Eco Park,2
73,Mother'S Wax Museum,2
74,Siksha Tirtha,2
75,Convention Centre,2
76,Swapno Bhor,2
77,Nazrul Tirtha,2
78,Nabadiganta,2
79,Nalban,2
80,Gour Kishore Ghosh,2
81,Beliaghata,2
82,Barun Sengupta,2
83,Ritwik Ghatak,2
84,VIP Bazar,2
85,Hemanta Mukherjee,2
86,Kavi Sukanta,2
87,Jyotirindra Nath Nandi,2
88,Satyajit Ray,2
