,Source,Target
0,Chennai Central,Egmore
1,Egmore,Nehru Park
2,Nehru Park,Kilpauk
3,Kilpauk,Pachaiyappa's College
4,Pachaiyappa's College,Shenoy Nagar
5,Shenoy Nagar,Anna Nagar East
6,Anna Nagar East,Anna Nagar Tower
7,Anna Nagar Tower,Thirumangalam
8,Thirumangalam,Koyambedu
9,Koyambedu,CMBT
10,CMBT,Arumbakkam
11,Arumbakkam,Vadapalani
12,Vadapalani,Ashok Nagar
13,Ashok Nagar,Ekkattuthangal
14,Ekkattuthangal,Alandur
15,Alandur,St. Thomas Mount
16,Washermenpet,Mannadi
17,Mannadi,High Court
18,High Court,Chennai Central
19,Chennai Central,Government Estate
20,Government Estate,LIC
21,LIC,Thousand Lights
22,Thousand Lights,AG-DMS
23,AG-DMS,Teynampet
24,Teynampet,Nandanam
25,Nandanam,Saidapet
26,Saidapet,Little Mount
27,Little Mount,Guindy
28,Guindy,Alandur
29,Alandur,Nanganallur Road
30,Nanganallur Road,Meenambakkam
31,Meenambakkam,Airport
