,Source,Target
0,Inderlok,Ashok Park Main
1,Ashok Park Main,Punjabi Bagh
2,Punjabi Bagh,Shivaji Park
3,Shivaji Park,Madipur
4,Madipur,Paschim Vihar East
5,Paschim Vihar East,Paschim Vihar West
6,Paschim Vihar West,Peera Garhi
7,Peera Garhi,Udyog Nagar
8,Udyog Nagar,Surajmal Stadium
9,Surajmal Stadium,Nangloi
10,Nangloi,Nangloi Railway Station
11,Nangloi Railway Station,Rajdhani Park
12,Rajdhani Park,Mundka
13,Mundka,Mundka Industrial Area
14,Mundka Industrial Area,Ghevra
15,Ghevra,Tikri Kalan
16,Tikri Kalan,Tikri Border
17,Tikri Border,Pandit Shree Ram Sharma
18,Pandit Shree Ram Sharma,Bahadurgarh City
19,Bahadurgarh City,Brigadier Hoshiyar Singh
20,Noida Electronic City,Noida Sector 62
21,Noida Sector 62,Noida Sector 59
22,Noida Sector 59,Noida Sector 61
23,Noida Sector 61,Noida Sector 52
24,Noida Sector 52,Noida Sector 34
25,Noida Sector 34,Noida City Centre
26,Noida City Centre,Golf Course
27,Golf Course,Botanical Garden
28,Botanical Garden,Noida Sector 18
29,Noida Sector 18,Noida Sector 16
30,Noida Sector 16,Noida Sector 15
31,Noida Sector 15,New Ashok Nagar
32,New Ashok Nagar,Mayur Vihar Extension
33,Mayur Vihar Extension,Mayur Vihar – I
34,Mayur Vihar – I,Akshardham
35,Akshardham,Yamuna Bank
36,Yamuna Bank,Indraprastha
37,Indraprastha,Pragati Maidan
38,Pragati Maidan,Mandi House
39,Mandi House,Barakhamba Road
40,Barakhamba Road,Rajiv Chowk
41,Rajiv Chowk,Ramakrishna Ashram Marg
42,Ramakrishna Ashram Marg,Jhandewalan
43,Jhandewalan,Karol Bagh
44,Karol Bagh,Rajendra Place
45,Rajendra Place,Patel Nagar
46,Patel Nagar,Shadipur
47,Shadipur,Kirti Nagar
48,Kirti Nagar,Moti Nagar
49,Moti Nagar,Ramesh Nagar
50,Ramesh Nagar,Rajouri Garden
