,Source,Target
0,JBS ( Jublee Bus Station ),Parade Ground
1,Parade Ground,Secunderabad
2,Secunderabad,Gandhi Hospital
3,Gandhi Hospital,Musheerabad
4,Musheerabad,RTC Cross Roads
5,RTC Cross Roads,Chikkadpally
6,Chikkadpally,Narayanguda
7,Narayanguda,Sultan Bazar
8,Sultan Bazar,M.G Bus Station
9,M.G Bus Station,Salarjung Museum
10,Salarjung Museum,Charminar
11,Charminar,Shalibanda
12,Shalibanda,Shamsher Gunj
13,Shamsher Gunj,Jungametta
14,Jungametta,Falaknuma
15,Nagole,Uppal
16,Uppal,Stadium
17,Stadium,NGRI (National Geophysical Research Institute)
18,NGRI (National Geophysical Research Institute),Habsiguda
19,Habsiguda,Tarnaka
20,Tarnaka,Mettuguda
21,Mettuguda,Secunderabad
22,Secunderabad,Parade Ground
23,Parade Ground,Paradise
24,Paradise,Rasoolpura
25,Rasoolpura,Prakash Nagar
26,Prakash Nagar,Begumpet
27,Begumpet,Ameerpet
28,Ameerpet,Madhur Nagar
29,Madhur Nagar,Yousufguda
30,Yousufguda,Jubilee Hills Road No. 5
31,Jubilee Hills Road No. 5,Jubilee Hills Check Post
32,Jubilee Hills Check Post,Peddamma Temple
33,Peddamma Temple,Madhapur
34,Madhapur,Durgam Cheruvu
35,Durgam Cheruvu,Hitec City
36,Hitec City,Raidurg
37,Miyapur,J.N.T.U College ( Jawaharlal Nehru Technological University)
38,J.N.T.U College ( Jawaharlal Nehru Technological University),K.P.H.B. Colony (Kukatpally Housing Board Colony)
39,K.P.H.B. Colony (Kukatpally Housing Board Colony),Kukatpally
40,Kukatpally,Balanagar
41,Balanagar,Moosapet
42,Moosapet,Bharatnagar
43,Bharatnagar,Erragadda
44,Erragadda,ESI Hospital
45,ESI Hospital,S.R Nagar (Sanjeeva Reddy Nagar)
46,S.R Nagar (Sanjeeva Reddy Nagar),Ameerpet
47,Ameerpet,Punjagutta
48,Punjagutta,Errum Manzil
49,Errum Manzil,Khairatabad
50,Khairatabad,Lakdi ka Pul
51,Lakdi ka Pul,Assembly
52,Assembly,Nampally
53,Nampally,Gandhi Bhavan
54,Gandhi Bhavan,Osmania Medical College
55,Osmania Medical College,M.G Bus Station
56,M.G Bus Station,Malakpet
57,Malakpet,New Market
58,New Market,Musarambagh
59,Musarambagh,Dilsukh Nagar
60,Dilsukh Nagar,Chaitanyapuri
61,Chaitanyapuri,Victoria Memorial
62,Victoria Memorial,L.B. Nagar (Lal Bahadur Nagar)
